observation_date,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,Num_Households,median_income,Subsidy,old_age_pop
1987-01-01,63.963,1987.0,1.0,37132.0,153840000.0,6.0,111.4,6.6,70.15342,107.6,6.43,89479.0,63060.0,11.506,11.9901802513702
1987-02-01,64.422,1987.0,2.0,37239.333333333336,154053700.0,6.2,111.8,6.6,70.28307,107.9,6.1,89479.0,63060.0,11.506,11.9901802513702
1987-03-01,64.734,1987.0,3.0,37346.666666666664,154196500.0,6.0,112.2,6.6,70.31551999999999,108.1,6.13,89479.0,63060.0,11.506,11.9901802513702
1987-04-01,65.13,1987.0,4.0,37454.0,154342400.0,6.0,112.7,6.3,70.50945,108.3,6.37,89479.0,63060.0,11.506,11.9901802513702
1987-05-01,65.562,1987.0,5.0,37531.0,154526500.0,6.7,113.0,6.3,70.814,108.3,6.85,89479.0,63060.0,11.506,11.9901802513702
1987-06-01,66.071,1987.0,6.0,37608.0,154669000.0,6.9,113.5,6.2,70.59533,108.6,6.73,89479.0,63060.0,11.506,11.9901802513702
1987-07-01,66.507,1987.0,7.0,37685.0,154727100.0,6.7,113.8,6.1,70.79815,109.2,6.58,89479.0,63060.0,11.506,11.9901802513702
1987-08-01,66.938,1987.0,8.0,37869.333333333336,154800000.0,6.8,114.3,6.0,71.00001999999999,109.7,6.73,89479.0,63060.0,11.506,11.9901802513702
1987-09-01,67.33,1987.0,9.0,38053.666666666664,154923400.0,6.8,114.7,5.9,70.91275,110.5,7.22,89479.0,63060.0,11.506,11.9901802513702
1987-10-01,67.738,1987.0,10.0,38238.0,155026300.0,6.8,115.0,6.0,71.10670999999999,111.5,7.29,89479.0,63060.0,11.506,11.9901802513702
1987-11-01,68.105,1987.0,11.0,38278.333333333336,155189000.0,7.0,115.4,5.8,71.16354,112.2,6.69,89479.0,63060.0,11.506,11.9901802513702
1987-12-01,68.50399999999999,1987.0,12.0,38318.666666666664,155264500.0,7.6,115.6,5.7,71.29069,112.6,6.77,89479.0,63060.0,11.506,11.9901802513702
